obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,N2O_kg_seas,N2O_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
39,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,20,55,25,,Fertilized till,urea,100,,,,,0,0,0,,cereal,0.36,0.36,,11,12,99,1,100,37,25,1291,1800
40,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,,,,,Tephrosia till,residue: Tephrosia,266,,,,,0,1,0,,cereal,0.568,0.568,,11,12,99,1,266,37,37,1291,1800
41,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,,,,,Tephrosia no-till,residue: Tephrosia,266,,,,,0,1,0,,cereal,0.487,0.487,,11,12,99,1,266,37,37,1291,1800
42,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,,,,,Crotalaria till,residue: Crotalaria,185,,,,,0,1,0,,cereal,0.51,0.51,,11,12,99,1,185,37,37,1291,1800
43,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,,,,,Natural-fallow till,residue: Natural fallow,118,,,,,0,1,0,,fallow,0.124,0.124,,11,12,99,1,118,37,37,1291,1800
44,this study,"Baggs, EM; Chebii, J; Ndufa, JK",A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,2005,SSA,"Nyabeda, Kenya",0.116666667,34.4,1800,ferralsol,1,5.9,,,,,Natural-fallow till,residue: Natural fallow,0,,,,,0,1,0,,fallow,0.208,0.208,,11,12,99,1,0,37,37,1291,1800
45,this study,"Bhattacharyya P., K.S. Roy, S. neogi, S.P Chakravorti, K.S. Behera, K.M. Das, S. Bardhan, K. S. Rao",Effect of long-term application of organic amendment on C storage in relation to global warming potential and biological activities in tropical flooded soil planted to rice,2012,A,"Cuttack, India",20.44944444,85.93416667,1500,Aeric Endoaquept,0,6.16,25.9,21.6,52.5,,T2 farmyard manure,farmyard manure,60,,,,,0,1,1,flooded rice,CF rice,0.7,0.7,,44,3,150,1,60,33,52.5,1294,1500
46,this study,"Bhattacharyya P., K.S. Roy, S. neogi, S.P Chakravorti, K.S. Behera, K.M. Das, S. Bardhan, K. S. Rao",Effect of long-term application of organic amendment on C storage in relation to global warming potential and biological activities in tropical flooded soil planted to rice,2012,A,"Cuttack, India",20.44944444,85.93416667,1500,Aeric Endoaquept,0,6.16,25.9,21.6,52.5,,T3 green manure,Sesbania aculeata,60,,,,,0,1,1,flooded rice,CF rice,0.72,0.72,,44,3,150,1,60,33,52.5,1294,1500
47,this study,"Bhattacharyya P., K.S. Roy, S. neogi, S.P Chakravorti, K.S. Behera, K.M. Das, S. Bardhan, K. S. Rao",Effect of long-term application of organic amendment on C storage in relation to global warming potential and biological activities in tropical flooded soil planted to rice,2012,A,"Cuttack, India",20.44944444,85.93416667,1500,Aeric Endoaquept,0,6.16,25.9,21.6,52.5,,T4 farmyard manure + green manure,farmyard manure + green manure,60,,,,,0,1,1,flooded rice,CF rice,0.6,0.6,,44,3,150,1,60,33,52.5,1294,1500
48,this study,"Bhattacharyya P., K.S. Roy, S. neogi, S.P Chakravorti, K.S. Behera, K.M. Das, S. Bardhan, K. S. Rao",Effect of long-term application of organic amendment on C storage in relation to global warming potential and biological activities in tropical flooded soil planted to rice,2012,A,"Cuttack, India",20.44944444,85.93416667,1500,Aeric Endoaquept,0,6.16,25.9,21.6,52.5,,T5 rice straw + green manure,rice straw + green manure,60,,,,,0,1,1,flooded rice,CF rice,0.66,0.66,,44,3,150,1,60,33,52.5,1294,1500
49,this study,"Bhattacharyya, P; Nayak, AK; Mohanty, S; Tripathi, R; Shahid, M; Kumar, A; Raja, R; Panda, BB; Roy, KS; Neogi, S; Dash, PK; Shukla, AK; Rao, KS","Greenhouse gas emissoin in relation to labile C, N pools and functional microbial diversity as influenced by 39 years long-term fertilizer management in tropical rice",2013,A,"Cuttack, India",20.41666667,85.91666667,,Aeric Endoaquept,0,,,,,,T2,urea,140,,,,,1,0,0,flooded rice,CF rice,1.42,1.42,,18,6,365,1,140,37,37,1294,1294
50,this study,"Bhattacharyya, P; Nayak, AK; Mohanty, S; Tripathi, R; Shahid, M; Kumar, A; Raja, R; Panda, BB; Roy, KS; Neogi, S; Dash, PK; Shukla, AK; Rao, KS","Greenhouse gas emissoin in relation to labile C, N pools and functional microbial diversity as influenced by 39 years long-term fertilizer management in tropical rice",2013,A,"Cuttack, India",20.41666667,85.91666667,,Aeric Endoaquept,0,,,,,,T5,NPK,140,,,,,1,0,0,flooded rice,CF rice,1.46,1.46,,18,6,365,1,140,37,37,1294,1294
51,this study,"Bhattacharyya, P; Nayak, AK; Mohanty, S; Tripathi, R; Shahid, M; Kumar, A; Raja, R; Panda, BB; Roy, KS; Neogi, S; Dash, PK; Shukla, AK; Rao, KS","Greenhouse gas emissoin in relation to labile C, N pools and functional microbial diversity as influenced by 39 years long-term fertilizer management in tropical rice",2013,A,"Cuttack, India",20.41666667,85.91666667,,Aeric Endoaquept,0,,,,,,control,,0,,,,,1,0,0,flooded rice,CF rice,0.58,0.58,,18,6,365,1,0,37,37,1294,1294
52,this study,"Bhattacharyya, P; Roy, KS; Neogi, S; Adhya, TK; Rao, KS; Manna, MC",Effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice,2012,A,"Cuttack, India",20.41666667,85.91666667,1500,aeirc endoaquept,0,6.3,25.9,21.6,52.5,,control,urea,0,,,,,0,0,1,flooded rice,CF rice,0.23,0.23,,23,3,128,1,0,37,52.5,1294,1500
53,this study,"Bhattacharyya, P; Roy, KS; Neogi, S; Adhya, TK; Rao, KS; Manna, MC",Effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice,2012,A,"Cuttack, India",20.41666667,85.91666667,1500,aeirc endoaquept,0,6.16,25.9,21.6,52.5,,T2 urea,urea,60,,,,,0,0,1,flooded rice,CF rice,1,1,,23,3,128,1,60,37,52.5,1294,1500
54,this study,"Bhattacharyya, P; Roy, KS; Neogi, S; Adhya, TK; Rao, KS; Manna, MC",Effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice,2012,A,"Cuttack, India",20.41666667,85.91666667,1500,aeirc endoaquept,0,6.16,25.9,21.6,52.5,,T3 rice straw + urea,urea,30,rice straw,30,,,0,1,1,flooded rice,CF rice,0.84,0.84,,23,3,128,1,60,37,52.5,1294,1500
55,this study,"Bhattacharyya, P; Roy, KS; Neogi, S; Adhya, TK; Rao, KS; Manna, MC",Effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice,2012,A,"Cuttack, India",20.41666667,85.91666667,1500,aeirc endoaquept,0,6.16,25.9,21.6,52.5,,T4 rice straw + green manure,rice straw,30,Sesbania aculeata,30,,,0,1,1,flooded rice,CF rice,0.72,0.72,,23,3,128,1,60,37,52.5,1294,1500
56,this study,"Bhattacharyya, P; Roy, KS; Neogi, S; Dash, PK; Nayak, AK; Mohanty, S; Baig, MJ; Sarkar, RK; Rao, KS",Impact of elevated CO2 and temperature on soil C and N dynamics in relation to CH4 and N2O emissions from tropical flooded rice (Oryza sativa L.),2013,A,"Cuttack, India",20.45277778,85.93583333,1500,Aeric Endoaquept,0,7.340442643,25.9,21.6,52.5,,UC,Urea,100,,,,,1,0,1,flooded rice,CF rice,0.69,0.69,,18,6,94,1,100,34,52.5,1294,1500
