obs,source,auth,title,yr_pub,region,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,N_in_kg,org_Nfix_in,irrig_1_0,tropical,split_app,crop,crop_type,NO_kg_seas,NO_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
102,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Urea,,,,50,,,0,,,pasture,0.648,0.648,,,,40,,,,
103,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Urea,,,,150,,,0,,,pasture,0.933,0.933,,,,153,,,,
104,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"5 km W. of Oxford, N. Caroli, USA",36.2833,-78.616,,,,,,,,,,,,,,140,,,0,,Wheat,cereal,0.009,0.009,,,,4,,,,
105,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"5 km W. of Oxford, N. Caroli, USA",36.2833,-78.616,,,,,,,,,,,,,,70,,,0,,Tobacco,other,0.025,0.025,,,,7,,,,
106,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"10 km SW of Reidsville, N. Caroli, USA",36.383,-79.7,,,,,,,,,,,,,,45,,,0,,Maize,cereal,0.029,0.029,,,,4,,,,
107,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"5 km NE of Kinston, Granville County, N. Caroli, USA",35.7166,-76.7,,,,,,,,,,"10-20-20+ urea, ammonia, nitrate",,,,190,,,0,,Maize,cereal,0.033,0.033,,,,6,,,,
108,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"5 km NE of Kinston, Granville County, N. Caroli, USA",35.7166,-76.7,,,,,,,,,,,,,,150,,,0,,Wheat,cereal,0.033,0.033,,,,4,,,,
109,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"5 km NE of Kinston, Granville County, N. Caroli, USA",35.7166,-76.7,,,,,,,,,,,,,,0,,,0,,Soybean,legume,0.07,0.07,,,,4,,,,
110,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"20 km SW of Plymouth, N. Caroli",36.383,-79.7,,,,,,,,,,,,,,150,,,0,,Wheat,cereal,0.231,0.231,,,,4,,,,
111,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"10 km SW of Reidsville, N. Caroli, USA",36.383,-79.7,,,,,,,,,,,,,,197,,,0,,Maize,cereal,0.339,0.339,,,,7,,,,
112,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Roelle_et_al._(2001),,,,"20 km SW of Plymouth, N. Caroli",36.383,-79.7,,,,,,,,,,"10-20-20+ urea, ammonia, nitrate",,,,175,,,0,,Maize,cereal,1.055,1.055,,,,24,,,,
113,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Shepherd_et_al._(1991),,,,"SW Ontario, Cada",43,-80,,,,,,,,,,None,,,,0,,,0,,Beans-bare,legume,0.04,0.04,,,,160,,,,
114,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Shepherd_et_al._(1991),,,,"SW Ontario, Cada",43,-80,,,,,,,,,,AN,,,,13,,,0,,Beans-bare,legume,1.4,1.4,,,,160,,,,
115,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Shepherd_et_al._(1991),,,,"SW Ontario, Cada",43,-80,,,,,,,,,,AN,,,,26,,,0,,Beans-bare,legume,3.5,3.5,,,,160,,,,
116,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Shepherd_et_al._(1991),,,,"SW Ontario, Cada",43,-80,,,,,,,,,,AN,,,,39,,,0,,Beans-bare,legume,4.48,4.48,,,,160,,,,
117,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Skiba_et_al._(1992),,,,"Glencorse Mains Farm, 8 km S. of Edinburgh",55.87876,-3.182054,,,,,,,,,,AN+CaCO3,,,,300,,,0,,Grass,pasture,0.124,0.124,,,,120,,,,
118,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Skiba_et_al._(1994),,,,SE Scotland,55.72591,-2.580631,,,,,,,,,,None,,,,0,,,0,,Lawn grass,pasture,0,0.0005,,,,1,,,,
119,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Sullivan_et_al._(1996),,,,"North Caroli ARS, 14 miles SE of Raleigh, North Caroli, USA",35.771037,-78.569922,,,,,,,,,,None,,,,0,,,0,,Soybean,legume,0.009,0.009,,,,5,,,,
120,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Sullivan_et_al._(1996),,,,"North Caroli ARS, 14 miles SE of Raleigh, North Caroli, USA",35.771037,-78.569922,,,,,,,,,,Mix-ammonium based,,,,81,,,0,,Cotton,other,0.052,0.052,,,,14,,,,
121,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Sullivan_et_al._(1996),,,,"North Caroli ARS, 14 miles SE of Raleigh, North Caroli, USA",35.771037,-78.569922,,,,,,,,,,Mix-ammonium based,,,,168,,,0,,Maize,cereal,0.076,0.076,,,,4,,,,
122,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Thornton_and_Valente_(1996),,,,"Jackson, Tennesee",35.61666667,-88.83333333,,,,,,,,,,,,,,0,,,0,,Maize,cereal,0.63,0.63,,,,210,,,,
